"subjID" "activity" "feature" "mMean" "mStd"
"1" 1 "LAYING" "fBodyAcc.X" -0.9390990524 -0.9244374346
"2" 1 "LAYING" "fBodyAcc.Y" -0.86706520518 -0.8336255561
"3" 1 "LAYING" "fBodyAcc.Z" -0.8826668762 -0.81289155944
"4" 1 "LAYING" "fBodyAccJerk.X" -0.9570738838 -0.9641607086
"5" 1 "LAYING" "fBodyAccJerk.Y" -0.9224626098 -0.9322178704
"6" 1 "LAYING" "fBodyAccJerk.Z" -0.9480609042 -0.9605869872
"7" 1 "LAYING" "fBodyGyro.X" -0.850249174586 -0.8822964508
"8" 1 "LAYING" "fBodyGyro.Y" -0.9521914948 -0.9512320494
"9" 1 "LAYING" "fBodyGyro.Z" -0.909302721 -0.9165825082
"10" 1 "LAYING" "tBodyAcc.X" 0.22159824394 -0.9280564692
"11" 1 "LAYING" "tBodyAcc.Y" -0.0405139534294 -0.83682740562
"12" 1 "LAYING" "tBodyAcc.Z" -0.11320355358 -0.826061401628
"13" 1 "LAYING" "tBodyAccJerk.X" 0.0810865342 -0.958482112
"14" 1 "LAYING" "tBodyAccJerk.Y" 0.0038382040088 -0.9241492736
"15" 1 "LAYING" "tBodyAccJerk.Z" 0.010834236361 -0.9548551108
"16" 1 "LAYING" "tBodyGyro.X" -0.016553093978 -0.87354386782
"17" 1 "LAYING" "tBodyGyro.Y" -0.064486124088 -0.9510904402
"18" 1 "LAYING" "tBodyGyro.Z" 0.14868943626 -0.9082846626
"19" 1 "LAYING" "tBodyGyroJerk.X" -0.107270949192 -0.9186085208
"20" 1 "LAYING" "tBodyGyroJerk.Y" -0.04151728689 -0.9679072436
"21" 1 "LAYING" "tBodyGyroJerk.Z" -0.0740501211 -0.9577901596
"22" 1 "LAYING" "tGravityAcc.X" -0.24888179828 -0.8968300184
"23" 1 "LAYING" "tGravityAcc.Y" 0.70554977346 -0.90772000676
"24" 1 "LAYING" "tGravityAcc.Z" 0.4458177198 -0.85236629022
"25" 1 "SITTING" "fBodyAcc.X" -0.979641238723404 -0.976412313191489
"26" 1 "SITTING" "fBodyAcc.Y" -0.944084550425532 -0.917275006382979
"27" 1 "SITTING" "fBodyAcc.Z" -0.959184889148936 -0.934469558085106
"28" 1 "SITTING" "fBodyAccJerk.X" -0.986597022553191 -0.987492994468085
"29" 1 "SITTING" "fBodyAccJerk.Y" -0.981579467021277 -0.982513909574468
"30" 1 "SITTING" "fBodyAccJerk.Z" -0.986053092340425 -0.988339184893617
"31" 1 "SITTING" "fBodyGyro.X" -0.976161464042553 -0.977904227021277
"32" 1 "SITTING" "fBodyGyro.Y" -0.975838585319149 -0.962345042553192
"33" 1 "SITTING" "fBodyGyro.Z" -0.951315544468085 -0.94391784106383
"34" 1 "SITTING" "tBodyAcc.X" 0.261237565425532 -0.977229008297872
"35" 1 "SITTING" "tBodyAcc.Y" -0.00130828765170213 -0.922618641914894
"36" 1 "SITTING" "tBodyAcc.Z" -0.104544182255319 -0.93958629106383
"37" 1 "SITTING" "tBodyAccJerk.X" 0.0774825199574468 -0.986430711276596
"38" 1 "SITTING" "tBodyAccJerk.Y" -0.000619102785106384 -0.981371965319149
"39" 1 "SITTING" "tBodyAccJerk.Z" -0.00336779235021277 -0.987910804468085
"40" 1 "SITTING" "tBodyGyro.X" -0.045350056512766 -0.977211283191489
"41" 1 "SITTING" "tBodyGyro.Y" -0.0919241549361702 -0.966473895319149
